FSC-A,SSC-A,DC-SIGN,HLA-DR,CD56,CCR6,CD45RA,CD4,CD69,CD8a,FoxP3,CD16,CD14,CD49a,CD163,CD3,CCR7,RORyt,T-bet,NKp46,CD11c,CD127,CD86,CD20,Eomes
1.56E+06,394501,-19.9942,-503.63,-626.795,-1141.58,1407.58,7211.08,9697.17,2147.84,-118.289,503.871,44.649,170.532,323.794,55607.4,2510.98,2653.91,7839.02,13.9748,-286.169,3517.61,-341.597,-133.544,7.49814
1.53E+06,617432,-293.55,217.691,46837.5,-2861.49,175295,-503.211,4956.49,42571.4,309.485,-779.295,112.755,-378.053,627.977,217.731,955.789,-1499.31,4793.55,1083.36,3638.01,851.689,294.973,4136.68,7271.6
1.51E+06,1.02E+06,-447.523,-1426.31,157741,-1779.9,10480.2,-903.49,10313.2,54663.8,87.1081,180.874,857.33,686.601,310.812,888.684,-157.81,6881.4,12811.1,502.025,9456.33,132.541,462.023,8187.54,2586.23
1.38E+06,413254,-797.902,21053.6,-246.471,-2471.52,38820.8,-188.354,6592.03,145811,79.5461,944.185,794.706,1988.4,537.977,48857.5,3389.12,2638.37,4615.74,1315.72,129.813,-520.751,-554.829,-243.909,2191.59
1.77E+06,481186,-624.419,2406.17,-93.2899,-1496.17,66547.5,-369.808,2099.32,202828,370.438,1282.15,1476.01,892.255,490.107,62026.9,3540.6,2137.17,30621.2,-362.565,770.654,-852.474,-726.116,846.522,1250.17
1.75E+06,634295,200.755,5886.98,289.876,-2173.77,5940.11,10759.3,676.282,906.348,995.813,1001.42,722.661,26355.6,-132.359,38360.7,908.294,2316.74,10690.8,-247.436,294.492,8243.93,811.712,1484.83,-1495.78
1.59E+06,484282,-710.824,1805.61,804.146,-54.0055,142391,12962.2,-869.933,24149.3,-410.727,-265.126,1743.53,-375.083,475.532,35554.8,2563.12,2174.41,44699.6,434.946,-498.996,1572.42,-471.186,2722.92,-632.354
1.50E+06,472545,-2662.62,-429.227,1687.56,-729.317,457010,-2573.2,27312.6,110033,994.733,20709.7,2418.77,2227.22,-455.875,65139.1,362.18,-11652.6,59284.8,598.325,6659.94,-932.55,-455.744,1344.17,705.079
1.73E+06,995389,61.5669,48259.9,4941.39,-2111.2,60617.3,-2061.64,308.412,-79.8691,116.837,409.661,-180.904,4576.74,-404.718,-63.5431,268.154,557.106,-707.787,-547.665,110600,-28.37,4313.79,771.958,1467.28
1.61E+06,633259,-1914.74,1381.89,-1750.27,-1836.6,665.621,28307.9,48540.4,904.168,347.323,1050.69,-449.499,67114.7,-1160.82,115811,-1489.67,2690.97,8255.3,489.334,-1829.11,16892.1,184.226,-476.876,403.171
1.51E+06,527245,-543.322,674.334,1567.35,-4095.01,567685,-200.734,23691,106117,-207.907,79.3279,-894.707,4994.81,483.798,33197.8,1993.89,3221.07,2182.68,635.056,58.4282,644.082,406.412,-881.034,2377.29
1.44E+06,547905,-37.471,-1059.91,404.367,-568.873,23516,9157.04,668.358,-602.62,-519.001,-544.99,904.179,881.071,-645.341,40181,25505.4,67.887,2986.83,-553.095,-100.991,15019,810.977,-162.736,-822.639
1.25E+06,383216,-765.444,3576,3119.97,-4078.75,261979,-472.348,17862.4,60944.3,-315.865,365.823,1377.76,531.368,923.25,13084.6,428.689,1713.23,3093.06,-95.3778,1160.59,818.395,991.28,-797.886,9068.51
1.22E+06,361430,-1105.92,-279.287,-157.811,-3034.76,188549,3513.65,4785.99,70175.7,241.24,428.799,1415.79,-3.52396,1158.93,37012.7,2023.1,2158.18,50482.8,-712.182,559.928,568.975,486.332,1612.31,-1306.64
